id,nombre_carretera,tramo,limite_tramo,sentido,limite,velocidad,fecha,matricula,conductor
M30/-31/20091205175543130,M30,31,50,descending,50,50,2009-12-05,7919AEO,21987229B
M30/-12/20111126031137450,M30,12,50,descending,50,45,2011-11-26,9519OEE,55754166G
M30/-25/20110418123336260,M30,25,50,descending,50,90,2011-04-18,4334OUU,31411702G
M40/+28/20100509161646690,M40,28,80,ascending,80,99,2010-05-09,0504IUE,04224805G
M45/+15/20101111192106620,M45,15,80,ascending,80,85,2010-11-11,4785UUA,36259246E
A1/+122/20090603094927790,A1,122,100,ascending,100,111,2009-06-03,6648AEO,40648481Y
A1/+217/20100602103816070,A1,217,100,ascending,100,145,2010-06-02,8686IUU,95875344M
M50/+11/20100924102551070,M50,11,100,ascending,100,102,2010-09-24,6882IUI,29525918J
A3/-92/20090702112418790,A3,92,100,descending,100,114,2009-07-02,6206EOU,49078455C
A6/-11/20111207214340190,A6,11,100,descending,100,126,2011-12-07,6734OUU,81207757R
M45/+31/20101127221832620,M45,31,80,ascending,80,100,2010-11-27,9445OEU,25877835Y
M50/+11/20110617105944380,M50,11,100,ascending,100,92,2011-06-17,5944EOE,22117400W
M45/-20/20090609114553010,M45,20,80,descending,80,90,2009-06-09,0619IEO,04906297Y
A3/+123/20100720124424290,A3,123,100,ascending,100,119,2010-07-20,5303EIO,21582390H
A6/+237/20110919185141320,A6,237,100,ascending,100,117,2011-09-19,3784IAO,98585779M
M40/-49/20120130012715090,M40,49,80,descending,80,94,2012-01-30,0504IUE,04224805G
M40/-43/20110604164820080,M40,43,80,descending,80,137,2011-06-04,0861EUI,25819562S
M30/+11/20100921094323400,M30,11,50,ascending,50,62,2010-09-21,9507IIA,88900195C
A1/-160/20110405073838140,A1,160,100,descending,100,112,2011-04-05,5823AEO,47614918L
A1/-232/20101104033404260,A1,232,100,descending,100,120,2010-11-04,4519AIU,46197994X
M50/+11/20110817183733540,M50,11,100,ascending,100,123,2011-08-17,8784IUI,70106310X
A4/+132/20090708052205230,A4,132,100,ascending,100,90,2009-07-08,8111EAA,12035677F
M30/-30/20091004144530770,M30,30,50,descending,50,52,2009-10-04,4481IEE,47285810H
M30/+32/20100706152322330,M30,32,50,ascending,50,65,2010-07-06,2639AAA,55533072D
A3/-206/20110424100343050,A3,206,100,descending,100,110,2011-04-24,8784IUI,70106310X
A5/+268/20090206194004000,A5,268,100,ascending,100,116,2009-02-06,5700IIE,15928484H
M40/-60/20080919153520000,M40,60,80,descending,80,87,2008-09-19,0062OEA,37616247T
M45/-20/20090527204526000,M45,20,80,descending,80,96,2009-05-27,6279OUE,22674835D
M30/+11/20090708050340000,M30,11,50,ascending,50,69,2009-07-08,1369IUA,97334824C
A3/-10/20080826073030000,A3,10,100,descending,100,113,2008-08-26,3422AEU,65871451A
M40/+23/20080309025923000,M40,23,80,ascending,80,97,2008-03-09,5862IOU,36071957E
M30/+11/20080404050610000,M30,11,50,ascending,50,62,2008-04-04,6493OEA,65572592Y
M50/+15/20090514155417000,M50,15,100,ascending,100,117,2009-05-14,0098EUA,33300126J
M45/+23/20090308214437000,M45,23,80,ascending,80,98,2009-03-08,6206EOU,49078455C
A3/-127/20080804185026000,A3,127,100,descending,100,118,2008-08-04,6206EOU,49078455C
M45/+15/20171223094951000,M45,15,80,ascending,80,119,2017-12-23,4237EIO,62793298D
M30/+11/20091005153040000,M30,11,50,ascending,50,60,2009-10-05,6560AII,78135349W
M40/+33/20091130152508000,M40,33,80,ascending,80,100,2009-11-30,5338IEI,80551722H
A2/+10/20080913175752000,A2,10,100,ascending,100,116,2008-09-13,0342OEO,13982887Z
A2/-242/20080301182952000,A2,242,100,descending,100,114,2008-03-01,7283OOE,99181271G
A5/-100/20091123051843000,A5,100,100,descending,100,118,2009-11-23,0438IAO,53675847B
M45/+28/20090404040542000,M45,28,80,ascending,80,71,2009-04-04,0946UOU,62526264M
A1/-268/20170918013217000,A1,268,100,descending,100,114,2017-09-18,0861EUI,25819562S
A3/-206/20081124015411000,A3,206,100,descending,100,118,2008-11-24,2877AIA,59015527B
M40/+29/20090718043546000,M40,29,80,ascending,80,97,2009-07-18,5938AOI,23939454L
A6/+234/20080219021404000,A6,234,100,ascending,100,112,2008-02-19,8784IUI,70106310X
M50/+66/20090327135714000,M50,66,100,ascending,100,117,2009-03-27,2970EUI,07836519M
A1/-160/20081217230757000,A1,160,100,descending,100,122,2008-12-17,1072IOA,47591599E
M50/-80/20170706041515000,M50,80,100,descending,100,119,2017-07-06,5853OII,80551722H
A5/-54/20090809235603000,A5,54,100,descending,100,126,2009-08-09,4785UUA,36259246E
A1/+242/20081015160445000,A1,242,100,ascending,100,108,2008-10-15,0772EOE,31414734T
M30/+14/20080125205010000,M30,14,50,ascending,50,64,2008-01-25,9218OIA,21371673G
M30/+11/20080429093109000,M30,11,50,ascending,50,67,2008-04-29,5279OUE,97091580R
A6/-11/20080706025329000,A6,11,100,descending,100,111,2008-07-06,3929OOO,58444159D
A6/+237/20080323043851000,A6,237,100,ascending,100,132,2008-03-23,0098EUA,33300126J
A6/+234/20171224134234000,A6,234,100,ascending,100,101,2017-12-24,3043OOI,30173036A
M30/+32/20180101080954000,M30,32,50,ascending,50,62,2018-01-01,9733UAO,81904772R
A5/+274/20080521153745000,A5,274,100,ascending,100,119,2008-05-21,1369OAU,31414734T
M45/-20/20080614163752000,M45,20,80,descending,80,99,2008-06-14,3812EIU,91725642D
M30/-26/20090313164202000,M30,26,50,descending,50,69,2009-03-13,7608OAU,94229966R
A1/-271/20170531171734000,A1,271,100,descending,100,116,2017-05-31,5844EIA,44230641P
