dni,nombre,apellido1,apellido2,direccion,localidad,email,telefono,fecha_nacimiento
21987229B,Ana Nuria,Mory,Ortiz,"Paseo Lope de Vega, N 156, 69676",Sotosombras del Lago,AMory@servcorreo.uctreseme.edu,555153476,1991-02-16
55754166G,Adela,Machon,Bertolotti,"Paseo de la Lana, N 179, 11257",Atalaya de Abajo,,555206262,1946-03-27
73520242Y,Maria de la Visitacion,Champa,Gonzalez,"Avenida Cervantes, N 162, 24201",Valtorres de San Guijuelo,CGonzalez@servcorreo.uctreseme.edu,555408595,1975-07-09
31411702G,Aspasio,Pachas,Aquino,"Plaza de la Bayeta, N 7, 85064",La Granja de los Ciervos,,555972911,1952-07-25
49806223E,Lajos,Tenorio,Hidalgo,"Calle Chesterton, N 43, 68086",Valcalores,,555579100,1976-03-24
04224805G,Samanta,Ampuero,Huaraca,"Travesia del Lago, N 101, 17715",Sotonieblas del Robledal,Sami@servcorreo.uctreseme.edu,,1973-05-22
65572592Y,Maria Sagrario,Gonzalez,Sanchez,"Avenida de los Jazmines, N 76, 52346",Tabanera de la Noceda,Sagri@servcorreo.uctreseme.edu,555763949,1955-05-30
36259246E,Regina Henar,Camarena,Cieza,"Plaza del Puente, N 127, 53794",Villaseca,R.C.@servcorreo.uctreseme.edu,555801750,1988-01-08
06415210G,Enriqueta,Azcarate,Jara,"Plaza Santa Teresa, N 137, 70681",Valverde de los Buhos,Jari@servcorreo.uctreseme.edu,,1965-03-13
40648481Y,Maria de la Consolacion,Morales,Marca,"Paseo Murillo, N 148, 61017",Sotorriba,,,1981-06-19
95875344M,Andres,Matos,Osorio,"Calle Curtidores, N 161, 61231",Sierra de los Trigos,,555622987,1949-09-01
29525918J,Zacarias,Sanchez,Sanz,"Plaza de la Dalia, N 107, 11546",Sototripas del Torreon,Zaci@servcorreo.uctreseme.edu,555327173,1957-02-28
49078455C,Autonomo,Cantaro,Shardin,"Calle de las Violetas, N 167, 75976",Villalemures de los Castillos,Auti@servcorreo.uctreseme.edu,555036852,1963-03-02
77045444K,Gloria,Barzola,Bardales,"Calle del Algodon, N 81, 64774",Villatripas de los Castillos,Torda@servcorreo.uctreseme.edu,555338871,1939-12-17
81207757R,M. Margarita,Gayoso,Paja,"Paseo Pastores, N 135, 58663",Mogote de las Tripas,Margui@servcorreo.uctreseme.edu,555729280,1953-09-14
82883718K,Alejandro Enrique,Francia,Ibarra,"Avenida San Cucufato, N 68, 19219",Villamodorros,,,1945-09-13
25877835Y,Fernando Rafael,Fuentes,Concepcion,"Plaza del Roble, N 50, 86353",Villatorres,,555552600,1972-01-18
38423370F,Romulo,Denia,Chocano,"Plaza del Zoco Chico, N 185, 86530",Valmodorros,Romi@servcorreo.uctreseme.edu,555490339,1974-05-27
