matricula,bastidor,marca,modelo,potencia,color,fecha_matriculacion,titular
7919AEO,QOI84163Q14980235,Rinaul,Fuente,1400,marron,2008-05-29,21987229B
9519OEE,QQQ42530Q26501403,Escola,Tercius,1400,rojo metalizado,2004-10-31,73520242Y
4334OUU,IIQ51207Q46695684,Zitron,Lemmon,1400,dorado,2003-06-10,49806223E
0504IUE,QIQ58505I97074027,Bemev,K-brio,1400,plateado,2006-06-15,65572592Y
4785UUA,QQI71806I35950133,Merche,Estadio,1400,gris,2008-04-02,06415210G
6648AEO,QQQ12109I84067913,Seta,Nizcalo,1400,dorado,2007-07-02,40648481Y
8686IUU,OQO43241Q19559486,Fork,Tetrox,1400,dorado,2002-08-31,95875344M
6882IUI,IQQ37428O29626828,Bemev,Berlin,1400,negro metalizado,2002-07-24,29525918J
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
6734OUU,QQO09939I45954228,Rinaul,Manante,1600,blanco,2003-09-08,82883718K
9445OEU,QQI04019I59214396,Zitron,Grapef,1400,plateado metalizado,2005-02-05,38423370F
5944EOE,QQO34155Q14848497,Escola,Seconda,1400,plateado metalizado,2004-06-25,22117400W
0619IEO,OQO87369I86192820,Zitron,Orange,1400,blanco metalizado,2008-02-29,82883718K
5303EIO,OOO29790O68615290,Rinaul,Fuente,1400,azul metalizado,2007-07-21,21582390H
3784IAO,IQI17923O96683383,Zitron,Lemmon,1400,rojo metalizado,2005-09-05,20304333W
0504IUE,QIQ58505I97074027,Bemev,K-brio,1400,plateado,2006-06-15,65572592Y
0861EUI,IIO62295O24945526,Rinaul,Arroyo,1600,blanco metalizado,2008-06-27,25819562S
9507IIA,IQI93255O19695485,Rinaul,Fuente,1400,azul,2008-10-28,15742171M
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
4519AIU,OQO12512I51315316,Zitron,Grapef,1400,azul metalizado,2002-04-18,44338136R
8784IUI,OQO15880I36350106,Bemev,Suv-X,1400,plateado metalizado,2003-11-18,50219461L
8111EAA,QII98756O94565461,Zitron,Grapef,1400,blanco metalizado,2004-07-17,02055702P
4481IEE,QQI08224Q96288743,Rinaul,Charco,1400,gris,2009-01-13,56651407S
2639AAA,QQO14678O28317466,Bemev,Cuple,1400,gris metalizado,2006-10-31,55533072D
8784IUI,OQO15880I36350106,Bemev,Suv-X,1400,plateado metalizado,2003-11-18,50219461L
5700IIE,IIO89049Q80945510,Zitron,Orange,1400,marron,2006-02-28,15928484H
0062OEA,IOI81674Q57617232,Merche,Tourne,1400,purpura metalizado,2006-02-13,77684051X
6279OUE,IQI51821Q24943387,Zitron,Tangerine,1400,rojo,2006-08-19,60305223M
1369IUA,QQI59839O69057952,Seta,Cardus,1400,rojo metalizado,2006-12-29,05511330R
3422AEU,OOQ73291O11537888,Escola,Cuartus,1400,azul,2008-07-10,48906593Z
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
6493OEA,IQQ64123Q58925888,Merche,Berlin,1400,negro,2003-04-14,99181271G
0098EUA,IIO57905I36451310,Peuyo,Real,1400,gris metalizado,2003-10-24,75969962L
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
4237EIO,IQQ95604Q39887649,Escola,Cuartus,1400,negro,2008-07-12,75939906R
6560AII,QOQ66177Q22578835,Fork,Tetrox,1400,blanco,2006-11-02,78135349W
5338IEI,OQQ78495O15486701,Bemev,Cuple,1400,rojo,2008-04-22,04906297Y
0342OEO,OQO75596O11597968,Bemev,Berlin,1400,blanco metalizado,2002-08-13,13982887Z
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
0438IAO,OQQ56304I66675906,Zitron,Tangerine,1400,negro,2009-01-03,53675847B
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
0861EUI,IIO62295O24945526,Rinaul,Arroyo,1600,blanco metalizado,2008-06-27,25819562S
2877AIA,QIO77803O46172998,Merche,Rod-star,1400,blanco,2004-04-01,59015527B
5938AOI,QII73641I58296691,Seta,Champi,1400,gris,2005-02-28,82883718K
8784IUI,OQO15880I36350106,Bemev,Suv-X,1400,plateado metalizado,2003-11-18,50219461L
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
1072IOA,IOQ21422I15691931,Rinaul,Fuente,1400,aguamarina,2008-07-04,25877835Y
5853OII,OIO85050Q74433787,Rinaul,Fuente,1400,violeta,2007-01-10,90553454Q
4785UUA,QQI71806I35950133,Merche,Estadio,1400,gris,2008-04-02,06415210G
0772EOE,IIO82672O31795676,Merche,Estadio,1400,azul,2008-03-14,79172538Y
9218OIA,OOI05730Q79417046,Merche,Estadio,1400,blanco,2003-10-15,28232810B
5279OUE,QIQ53737Q94873236,Zitron,Lemmon,1400,negro metalizado,2003-02-15,97091580R
3929OOO,QII67147Q67852783,Bemev,Cuple,1400,blanco,2008-12-02,58793740J
0098EUA,IIO57905I36451310,Peuyo,Real,1400,gris metalizado,2003-10-24,75969962L
3043OOI,IIO13807Q91952846,Merche,Tourne,1400,rojo,2002-03-11,80738207L
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
1369OAU,OOI69335Q51586849,Zitron,Tangerine,1400,dorado,2002-09-02,49631868F
3812EIU,IIQ55613O86187253,Zitron,Orange,1400,gris,2002-07-31,97959442G
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
5844EIA,IIQ83190I84295888,Seta,Amanita,1400,gris,2008-01-11,65572592Y
4702OIA,OQO66095Q53287646,Peuyo,Real,1400,gris,2006-02-10,73010468G
6306III,IOQ24860Q49121860,Seta,Nizcalo,1400,marron,2004-03-10,56193398M
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
3667IIE,QIO83777I33238686,Seta,Nizcalo,1400,blanco metalizado,2002-07-23,18612682R
1858UEA,QOQ13352Q10174320,Peuyo,Natural,1400,negro metalizado,2004-09-29,23939454L
4702OIA,OQO66095Q53287646,Peuyo,Real,1400,gris,2006-02-10,73010468G
